timestamp,f1_model_a,f1_model_b,improvement,model_replaced
2025-05-09T16:11:29.589109,1.0,1.0,0.0,False
2025-05-09T16:19:28.692269,1.0,1.0,0.0,False
2025-05-09T16:22:15.152500,1.0,1.0,0.0,False
2025-05-09T16:27:43.141136,1.0,0.9999814619135012,-1.8538086498764983e-05,False
2025-05-09T16:28:56.753886,1.0,1.0,0.0,False
2025-05-09T16:29:56.270665,1.0,1.0,0.0,False
2025-05-09T16:30:51.840700,1.0,0.9999814619135012,-1.8538086498764983e-05,False
2025-05-09T16:36:04.386765,1.0,1.0,0.0,False
2025-05-09T16:38:19.290719,1.0,0.9999814619135012,-1.8538086498764983e-05,False
2025-05-09T16:39:33.583848,1.0,1.0,0.0,False
2025-05-09T16:44:19.921340,1.0,1.0,0.0,False
2025-05-09T17:05:25.761153,1.0,1.0,0.0,False
2025-05-09T17:06:18.989903,1.0,1.0,0.0,False
2025-05-09T17:17:05.152021,1.0,1.0,0.0,False
2025-05-09T17:18:43.937708,1.0,1.0,0.0,False
2025-05-09T17:20:53.045179,1.0,1.0,0.0,False
2025-05-11T05:42:29.012509,1.0,1.0,0.0,False
2025-05-11T05:57:01.919285,1.0,1.0,0.0,False
2025-05-11T05:59:29.677256,1.0,1.0,0.0,False
2025-05-11T06:21:15.620210,1.0,1.0,0.0,False
2025-05-11T09:38:10.596821,1.0,1.0,0.0,False
2025-05-11T09:38:56.932563,1.0,1.0,0.0,False
2025-05-11T09:40:23.898556,1.0,1.0,0.0,False
2025-05-11T09:43:13.652941,1.0,1.0,0.0,False
2025-05-12T04:04:51.187207,1.0,1.0,0.0,False
2025-05-12T09:36:21.637017,1.0,1.0,0.0,False
2025-05-12T09:39:55.850605,1.0,1.0,0.0,False
2025-05-12T09:42:37.016838,1.0,1.0,0.0,False
2025-05-12T09:44:14.584642,1.0,0.9999814612261545,-1.8538773845500067e-05,False
2025-05-12T09:57:48.057562,1.0,0.9999814605387567,-1.853946124330541e-05,False
